Query 1 Dataframe Execution Time: 0.11608028411865234

===== Query 1 Dataframe Result =====
+----+-----+----------+
|Year|Month|CrimeCount|
+----+-----+----------+
|2010|1    |19517     |
|2010|3    |18131     |
|2010|7    |17856     |
|2011|1    |18138     |
|2011|7    |17283     |
|2011|10   |17034     |
|2012|1    |17946     |
|2012|8    |17661     |
|2012|5    |17502     |
|2013|8    |17441     |
|2013|1    |16822     |
|2013|7    |16644     |
|2014|10   |17329     |
|2014|7    |17258     |
|2014|12   |17198     |
|2015|10   |19220     |
|2015|8    |19011     |
|2015|7    |18709     |
|2016|10   |19659     |
|2016|8    |19491     |
|2016|7    |19448     |
|2017|10   |20433     |
|2017|7    |20193     |
|2017|1    |19835     |
|2018|5    |19974     |
|2018|7    |19876     |
|2018|8    |19762     |
|2019|7    |19123     |
|2019|8    |18980     |
|2019|3    |18859     |
|2020|1    |18510     |
|2020|2    |17257     |
|2020|5    |17211     |
|2021|10   |19311     |
|2021|7    |18663     |
|2021|8    |18379     |
|2022|5    |20428     |
|2022|10   |20285     |
|2022|6    |20221     |
|2023|8    |19842     |
|2023|1    |19789     |
|2023|7    |19777     |
|2024|1    |6709      |
+----+-----+----------+

